timestamps,TP9,AF7,AF8,TP10,Right AUX
1642553904.781,-8.301,30.273,30.762,20.508,-33.203
1642553904.785,14.648,25.391,42.969,39.551,-33.691
1642553904.789,23.438,29.297,20.996,24.902,-35.645
1642553904.793,6.348,30.762,23.926,30.273,-54.688
1642553904.797,-4.395,21.973,51.270,40.527,-8.301
1642553904.801,5.371,20.020,36.621,31.250,18.555
1642553904.805,23.438,30.762,28.320,36.133,15.625
1642553904.808,11.230,36.133,37.598,36.133,4.395
1642553904.812,4.395,28.809,72.266,28.320,29.297
1642553904.816,14.648,30.762,64.453,26.367,67.383
1642553904.820,22.949,34.180,49.805,22.949,46.875
1642553904.824,36.621,31.250,56.641,31.250,47.852
1642553904.824,36.621,31.250,56.641,31.250,47.852
1642553904.825,35.156,36.133,55.176,29.785,73.730
1642553904.829,22.461,30.762,50.293,16.602,44.434
1642553904.833,13.184,26.855,47.852,19.043,26.367
1642553904.837,15.137,25.879,56.152,24.902,2.930
1642553904.841,12.695,23.438,58.105,34.180,28.320
1642553904.845,5.371,24.902,45.898,36.621,46.875
1642553904.849,15.137,31.250,24.902,37.109,6.836
1642553904.852,34.668,32.715,47.363,34.668,5.859
1642553904.856,29.785,29.785,82.031,41.504,11.230
1642553904.860,15.137,20.996,56.641,50.781,-3.418
1642553904.864,15.625,18.066,40.527,41.992,-7.812
1642553904.868,20.020,14.160,51.758,38.086,8.301
1642553904.870,20.508,12.207,49.805,39.062,12.207
1642553904.874,32.227,19.531,32.715,46.387,1.465
1642553904.878,24.414,28.809,28.320,39.062,-0.488
1642553904.882,16.602,38.574,34.668,12.695,20.020
1642553904.886,37.109,38.574,30.762,5.859,17.090
1642553904.890,38.086,36.133,-1.953,12.695,-21.973
1642553904.894,23.438,30.273,2.441,14.160,-23.926
1642553904.897,17.578,29.785,56.152,11.230,28.809
1642553904.901,9.766,33.203,68.359,14.648,69.824
1642553904.905,-1.465,28.809,14.648,15.625,55.176
1642553904.909,-5.371,32.715,0.000,11.719,49.805
1642553904.913,1.953,31.738,41.992,12.207,80.566
1642553904.930,8.301,39.551,25.391,9.277,85.449
1642553904.934,14.160,43.457,9.766,16.602,116.699
1642553904.938,2.441,28.809,6.836,14.648,102.539
1642553904.942,0.488,23.926,12.695,17.578,64.453
1642553904.946,27.344,23.926,18.555,31.250,65.918
1642553904.950,22.461,31.250,6.836,27.344,47.363
1642553904.954,-12.207,35.645,13.672,5.371,50.293
1642553904.957,4.395,27.832,29.785,4.395,50.293
1642553904.961,28.809,37.109,18.555,12.207,31.738
1642553904.965,2.930,39.062,-6.836,-1.465,-1.465
1642553904.969,0.000,24.902,23.926,-2.441,-7.812
1642553904.973,22.949,22.949,45.410,10.254,-4.883
1642553904.974,18.555,31.738,20.508,6.836,-9.766
1642553904.978,18.555,32.715,22.461,3.418,-17.090
1642553904.982,21.484,39.551,27.832,7.324,-24.902
1642553904.986,22.461,42.480,28.320,6.348,-6.348
1642553904.990,20.508,39.062,16.602,5.859,-4.395
1642553904.994,22.949,32.227,7.324,9.277,-16.602
1642553904.998,22.949,29.785,12.695,15.625,-40.039
1642553905.001,4.883,33.203,27.344,10.742,-61.035
1642553905.005,-1.953,32.227,5.859,12.207,-24.902
1642553905.009,27.832,40.527,2.441,39.062,7.324
1642553905.013,23.926,44.922,43.945,21.484,23.438
1642553905.017,0.977,33.203,20.996,8.301,29.785
1642553905.019,12.695,15.625,7.324,26.855,7.324
1642553905.023,30.762,11.230,23.926,30.273,16.113
1642553905.027,45.898,22.949,29.785,40.527,71.777
1642553905.031,27.832,30.273,20.508,35.645,62.012
1642553905.035,22.461,29.785,11.230,23.926,15.625
1642553905.039,30.273,28.809,19.531,21.484,39.551
