timestamps,TP9,AF7,AF8,TP10,Right AUX
1641936951.752,62.500,1.953,-96.680,77.637,-51.270
1641936951.756,72.266,2.930,-93.262,84.961,-47.852
1641936951.760,75.195,1.953,-171.875,103.027,-34.180
1641936951.764,62.012,6.348,-139.160,97.656,-13.184
1641936951.768,58.594,5.371,-49.316,79.102,0.000
1641936951.772,84.473,4.883,-103.027,88.379,-6.348
1641936951.775,99.121,-6.348,-323.242,109.375,-9.277
1641936951.779,90.820,-6.348,-412.598,105.469,-31.250
1641936951.783,82.520,10.742,-184.570,95.215,5.859
1641936951.787,97.168,16.113,-40.527,89.844,5.371
1641936951.791,119.141,19.531,-80.078,106.934,6.348
1641936951.795,111.816,20.996,-8.789,121.094,49.805
1641936951.799,88.379,16.602,157.227,102.051,29.785
1641936951.803,83.496,10.254,70.801,96.191,-11.230
1641936951.807,101.074,11.719,-26.855,112.305,-15.137
1641936951.811,93.750,17.578,55.176,121.094,-6.836
1641936951.815,58.105,12.695,133.301,107.910,11.719
1641936951.819,42.969,7.324,-30.762,83.984,7.324
1641936951.822,61.523,11.230,-297.852,96.191,-8.301
1641936951.826,77.637,24.902,-16.113,123.047,36.133
1641936951.830,55.176,25.391,266.602,110.840,36.133
1641936951.834,32.227,17.090,137.207,88.379,31.738
1641936951.838,44.922,7.324,-5.859,87.891,63.965
1641936951.842,67.383,3.418,66.406,101.074,91.309
1641936951.843,56.152,7.324,214.844,94.727,74.219
1641936951.847,25.879,-5.859,23.926,78.613,48.340
1641936951.851,28.809,-10.742,-35.645,75.195,31.250
1641936951.855,41.504,1.953,176.270,89.844,26.855
1641936951.859,16.113,-2.441,263.672,98.633,34.180
1641936951.863,-38.086,-16.602,-21.973,76.172,17.090
1641936951.866,-36.621,-0.488,-131.348,60.547,4.395
1641936951.870,17.090,17.578,214.844,80.078,38.574
1641936951.874,48.828,11.230,271.484,92.773,43.945
1641936951.878,44.922,10.742,103.516,86.426,2.930
1641936951.882,43.945,17.090,127.930,72.754,7.812
1641936951.886,61.035,18.555,278.809,73.242,36.133
1641936951.903,77.637,12.207,243.164,90.820,44.922
1641936951.907,75.195,13.672,62.988,81.055,70.801
1641936951.911,53.223,17.090,5.371,60.059,63.477
1641936951.915,56.152,27.344,110.352,62.988,41.992
1641936951.919,75.684,38.574,166.016,81.055,48.828
1641936951.923,62.012,27.344,-149.414,75.684,35.156
1641936951.926,33.203,35.156,-156.250,44.922,50.781
1641936951.930,30.273,33.203,184.082,34.668,67.871
1641936951.934,38.086,14.160,41.992,51.270,12.207
1641936951.938,30.273,16.602,33.203,71.777,-16.113
1641936951.942,1.465,27.344,232.910,46.387,6.836
1641936951.946,-9.766,28.320,178.223,20.508,-44.922
1641936951.948,12.207,20.996,39.551,37.109,-53.223
1641936951.952,17.578,22.461,27.832,48.828,-13.184
1641936951.956,-4.395,32.715,98.633,43.945,0.488
1641936951.960,-6.348,37.598,77.148,16.602,11.230
1641936951.964,26.855,34.180,-66.406,21.484,23.438
1641936951.968,31.738,34.668,-92.285,55.664,41.016
1641936951.971,11.230,35.645,-112.793,52.246,23.926
1641936951.975,23.438,39.551,13.184,34.668,6.836
1641936951.979,37.598,26.367,-123.535,25.391,0.000
1641936951.983,41.992,28.320,-325.195,46.875,-28.320
1641936951.987,43.945,47.363,107.422,62.988,8.301
1641936951.991,35.645,38.574,183.594,41.504,9.766
1641936951.993,36.133,38.574,19.043,40.527,-13.672
1641936951.997,58.594,44.922,41.504,61.035,-15.625
1641936952.001,66.406,42.969,185.059,72.266,24.902
1641936952.005,45.410,40.039,188.965,61.523,81.055
1641936952.009,45.898,30.273,45.898,36.621,77.637
1641936952.013,61.523,29.297,-37.598,46.387,56.152
1641936952.016,62.500,31.738,-13.672,55.664,64.453
1641936952.020,46.387,16.113,-43.457,40.527,43.457
1641936952.024,29.297,13.184,-395.996,25.879,-8.301
1641936952.028,52.734,40.527,-336.914,23.438,-13.672
1641936952.032,70.312,49.805,95.215,44.922,57.129
1641936952.036,46.875,33.203,54.688,39.551,93.750
1641936952.038,28.809,27.344,-1.953,13.672,57.617
1641936952.042,43.457,29.785,105.469,16.113,27.344
1641936952.046,64.941,26.855,125.488,41.016,-14.160
1641936952.050,48.828,30.273,104.980,46.387,-1.953
1641936952.054,19.531,30.273,77.148,16.113,28.320
1641936952.058,26.367,26.855,-23.926,2.441,2.441
1641936952.061,43.945,28.809,-26.367,25.879,-12.695
1641936952.065,38.086,24.902,-153.320,47.852,-4.883
1641936952.069,21.973,33.203,-219.238,32.715,32.715
1641936952.073,33.203,43.457,-11.230,10.254,43.457
1641936952.077,51.270,39.062,29.297,30.762,39.062
1641936952.081,52.246,33.203,-7.324,56.152,33.691
1641936952.082,29.785,38.086,42.969,49.805,33.203
1641936952.086,12.207,37.598,202.148,36.621,92.285
1641936952.090,34.180,40.039,178.711,36.621,81.055
1641936952.094,70.312,51.270,133.789,55.664,80.078
1641936952.098,56.641,43.457,124.512,56.641,54.199
1641936952.102,16.602,39.062,16.113,34.668,-8.789
1641936952.105,37.109,43.945,-77.148,30.762,-12.207
1641936952.109,66.895,49.805,-251.465,49.316,-22.461
1641936952.113,47.363,62.988,-49.316,62.988,-2.441
1641936952.117,19.531,52.246,236.328,42.969,24.902
1641936952.121,24.902,41.504,74.707,24.902,10.254
1641936952.125,51.758,47.852,67.383,52.734,40.527
1641936952.143,47.363,39.551,126.465,62.012,84.473
1641936952.147,22.461,33.203,94.727,34.668,36.621
1641936952.151,27.832,24.902,8.301,22.461,12.695
1641936952.155,41.504,25.879,-66.406,36.133,-11.230
1641936952.159,51.270,39.062,137.695,52.246,0.000
1641936952.163,49.805,31.738,160.156,44.922,23.926
1641936952.166,32.715,24.902,-125.488,23.926,0.488
1641936952.170,38.574,33.203,-187.988,20.020,-41.992
1641936952.174,69.824,41.016,178.223,41.504,2.441
1641936952.178,47.363,33.203,243.164,37.109,39.551
1641936952.182,20.020,36.621,128.906,23.438,8.789
1641936952.186,36.133,38.086,194.824,35.645,13.672
1641936952.173,55.664,27.832,281.250,48.340,38.574
